origin,horizon_months,actual,flow,persistence,ar1,ar4,lo50,hi50,cover50,score50,lo80,hi80,cover80,score80,lo90,hi90,cover90,score90
2017-07-01,1,1.5596822066068714,1.4427009669702273,1.4747043604645231,1.4897782505389827,1.5103018680715408,1.3123013117036662,1.4865252651474723,False,0.46685171928140257,1.2317200393218153,1.5981020364592962,True,0.3663819971374809,1.1968372580548245,1.6487750698202628,True,0.45193781176543824
2017-07-01,3,1.6680510525820782,1.321756984076485,1.4747043604645231,1.5174606105171715,1.5785929246996135,0.9568560617639947,1.391018901387411,False,1.542291444402085,0.7841332225178957,1.5391820763283939,False,2.0437386163473414,0.6580894729144172,1.6644321994023896,False,1.078719790081744
2017-07-01,6,1.7423814828018716,1.2277731254179132,1.4747043604645231,1.5534803521907756,1.6547351710680704,0.6347956577095812,1.2020790338357668,False,2.7284931719906047,0.3484623902415549,1.5211794468214008,False,3.384737416384554,0.004222269575079096,1.6385724043262173,False,3.7105317042642234
2017-07-01,12,2.3116806351336234,1.7941121766998387,1.4747043604645231,1.6093885959906415,1.7440799057591112,0.7178172493990636,1.646742375860029,False,3.5886781635553433,0.04056969948309175,2.2084973105878642,False,3.1997608565623645,-0.111092169834897,2.3781625267290383,True,2.4892546965639353
2017-08-01,1,1.742179838126192,1.5294206928605107,1.5596822066068714,1.5702928991519176,1.6128131777664116,1.4011313051105867,1.5782314513944762,False,0.8328936932107525,1.3208805434925588,1.6845937381271416,False,0.9395741946250858,1.2837650652431993,1.734685816917263,False,0.6008011758526426
2017-08-01,3,1.7778156936511498,1.6406472343798013,1.5596822066068714,1.5897755203317945,1.6707028082833337,1.283644093226577,1.7165682661619526,False,0.6779138828921645,1.1049733404358124,1.9294581558938877,True,0.8244848154580753,0.9783392324192619,1.9925957828949015,True,1.0142565504756396
2017-08-01,6,1.8209277174667655,1.3889636760944153,1.5596822066068714,1.6151187142646422,1.720236867278043,0.7980121099298779,1.3809878278952943,False,2.342735276251301,0.5207310651761885,1.7152741890410683,False,2.251078408121852,0.16667929803134296,1.8665140862028426,True,1.6998347881714997
2017-08-01,12,2.1569803047896254,1.9254319220725113,1.5596822066068714,1.6544355476064874,1.7769347967552653,0.8586931139137284,1.8102773047427823,False,2.3383961910164266,0.1739726958732717,2.353953604094768,True,2.1799809082214967,0.023042001903048615,2.5057072451957483,True,2.4826652432926997
2017-09-01,1,1.6680510525820782,1.8081355878854422,1.742179838126192,1.7432061994573553,1.821114952826411,1.6819564676521552,1.8644192977684004,False,0.23808449039655333,1.601853972424666,1.9653608511540146,True,0.3635068787293485,1.562688041566222,2.0211628281768803,True,0.4584747866106582
2017-09-01,3,1.750990246521117,2.001148893598463,1.742179838126192,1.7450900993750407,1.8561849876013687,1.6520435336045043,2.081669079252891,True,0.42962554564838684,1.4666430780688158,2.282028056305641,True,0.8153849782368252,1.3402004008394517,2.3525319941126126,True,1.012331593273161
2017-09-01,6,1.9785882627263311,1.9663211626053483,1.742179838126192,1.7475393220448547,1.8525629211840782,1.3773954979846055,1.9717115312548412,False,0.6218229591561955,1.0984828686306074,2.321640032226337,True,1.2231571635957297,0.7453032623220377,2.440165777986223,True,1.6948625156641852
2017-09-01,12,1.9900271150064868,2.0774279897449586,1.742179838126192,1.7513352290146145,1.8440618325475957,1.020245300728168,2.019802105750497,True,0.9995568050223291,0.3294342203835916,2.5043789441967452,True,2.1749447238131534,0.1778524959407688,2.6539282859622326,True,2.476075790021464
2017-10-01,1,1.7778156936511498,1.7668884685117239,1.6680510525820782,1.6729741659334818,1.6429266156294875,1.6343785457285256,1.8202195236315344,True,0.1858409779030088,1.5628653869581235,1.9238857075578584,True,0.3610203205997349,1.5216490034905954,1.9798859204669668,True,0.45823691697637137
2017-10-01,3,1.7423814828018716,1.5501044674244775,1.6680510525820782,1.682011237640399,1.6595847524739407,1.2088968885897846,1.6293471503267258,False,0.8725875916375241,1.016766730309172,1.8230518713247463,True,0.8062851410155742,0.8905154838669946,1.9009221199376762,True,1.0104066360706816
2017-10-01,6,2.025966232628674,1.6665217609697665,1.6680510525820782,1.6937615321192523,1.7089970598300472,1.079621997892818,1.6736913455987572,False,2.003168895825606,0.7990777839385111,2.018617479849162,False,1.2930272237057707,0.44677033846621783,2.136660581623087,True,1.6898902431568692
2017-10-01,12,2.03230609584368,1.84374387202656,1.6680510525820782,1.711976370733002,1.7707571774375088,0.7961173021517616,1.7563429972880882,False,2.064078089358693,0.09921555950306593,2.2691240989078763,True,2.16990853940481,-0.05301719541235683,2.41646914133787,True,2.4694863367502267
2017-11-01,1,1.750990246521117,1.801740577169016,1.7778156936511498,1.7769483486493098,1.826640576660116,1.6713409219024549,1.852811483995904,True,0.18147056209344914,1.5999760295225915,1.9585097919927126,True,0.35853376247012103,1.556709193445979,2.014708240788064,True,0.45799904734208496
2017-11-01,3,1.8209277174667655,1.5179512770987802,1.7778156936511498,1.7753564379870088,1.8499988391444344,1.1768607539894083,1.6010264682575674,False,1.3037707111049515,0.9857816183978165,1.782966922192141,False,1.1767932565405703,0.8597218027428256,1.8682034816110282,True,1.0084816788682027
2017-11-01,6,2.2409095512439534,1.8883360987479412,1.7778156936511498,1.7732870691208906,1.8473770607217923,1.3030017056739358,1.899328819995926,False,1.9626500393141,1.0212864386601717,2.2475098350179508,True,1.226223396357779,0.6698511540241543,2.354769124673709,True,1.6849179706495545
2017-11-01,12,1.9232780920105144,1.876682395809183,1.7778156936511498,1.7700805430479296,1.841110629630658,0.8389633144716175,1.8821551739322717,False,1.2076835317736248,0.1356195401235616,2.3004918951200293,True,2.1648723549964677,-0.01726424526446091,2.44563263821453,True,2.462896883478991
2017-12-01,1,1.7423814828018716,1.4940558209942258,1.750990246521117,1.751540605677218,1.7435872000118435,1.3657664332443018,1.5428665795281913,False,0.9751597593786105,1.294549807254977,1.6505970115954844,False,1.2738919164043785,1.2492325185692803,1.7069936962770784,False,1.165516908203661
2017-12-01,3,1.9785882627263311,1.680633422975232,1.750990246521117,1.7525507447255013,1.753059463703703,1.339659955591181,1.7795781383145335,False,1.2359586803705431,1.1496318426886103,1.9779436558016579,False,0.8347578823597803,1.0237634578208057,2.0303201794865293,True,1.0065567216657236
2017-12-01,6,2.242964269065925,1.898881397920189,1.750990246521117,1.7538638936005957,1.7761377923895436,1.315112374849127,1.9205893223833788,False,1.8949767342644361,1.032226054775905,2.257964889060566,True,1.225738834284661,0.6816629309761641,2.361608629118404,True,1.6799456981422398
2017-12-01,12,1.8475186713225709,1.8002338040686732,1.750990246521117,1.755898754916236,1.8048053317772077,0.7724222112683405,1.8381501703539525,False,1.1032019629600855,0.06263640522092473,2.2224725758090496,True,2.159836170588125,-0.09089841063969772,2.3654090195680575,True,2.4563074302077554
2018-01-01,1,1.8209277174667655,1.796991117994769,1.7423814828018716,1.7433839932556454,1.7443301432551688,1.6708119977614821,1.8532748278777273,True,0.1824628301162452,1.5997436381626962,1.9571280817543766,True,0.3573844435916804,1.552375896867915,2.0115929204986105,True,0.4592170236306954
2018-01-01,3,2.025966232628674,1.9881056890036262,1.7423814828018716,1.7452240335683578,1.7596654824971665,1.6472492773448963,2.1017746543815035,True,0.4545253770366071,1.458272187131346,2.2885713290631684,True,0.8302991419318224,1.332595233050728,2.337226997513973,True,1.004631764463245
2018-01-01,6,2.3116806351336234,2.455251883214619,1.7423814828018716,1.7476160596906953,1.7813545751936817,1.8730482301464997,2.4865325782203755,True,0.6134843480738759,1.5889908570138205,2.8142451292253634,True,1.225254272211543,1.2392998940503557,2.9142733196852806,True,1.674973425634925
2018-01-01,12,1.4216784211098505,1.9801394333162612,1.7423814828018716,1.751322840962896,1.8072980080170482,0.9622353290531616,2.021339909986806,True,1.0591045809336446,0.24600749130638544,2.4008074774861674,True,2.154799986179782,0.09182164497316325,2.5415396219096826,True,2.4497179769365194
2018-02-01,1,1.9785882627263311,2.096847124650934,1.8209277174667655,1.8177821261564382,1.8544199122683143,1.9727782719342841,2.1501781797707444,True,0.1773999078364603,1.901858178726037,2.256447353156822,True,0.3545891744307852,1.8524399848221713,2.311199549051924,True,0.45875956422975284
2018-02-01,3,2.2409095512439534,2.2518220109025138,1.8209277174667655,1.8120090157253903,1.8658745448900615,1.911082654969105,2.36535874767015,True,0.45427609270104496,1.7231565874445756,2.551785490900367,True,0.8286289034557917,1.597671064151144,2.6003778714119097,True,1.0027068072607657
2018-02-01,6,2.1569803047896254,2.443451348515612,1.8209277174667655,1.804504943374099,1.8577995127624014,1.8628130654504358,2.4746000973210087,True,0.6117870318705729,1.5775846392582993,2.802354349396724,True,1.2247697101384245,1.2287658371311105,2.8987669902587196,True,1.670001153127609
2018-02-01,12,1.390461663336772,1.95433143756355,1.8209277174667655,1.7928787574667857,1.8460974389462494,0.9463348218376835,1.9937335077238332,True,1.0473986858861497,0.22366495239154727,2.373428754162986,True,2.1497638017714387,0.06882807558572512,2.5119565992510076,True,2.4431285236652824
2018-03-01,1,2.025966232628674,1.8551416588703409,1.9785882627263311,1.9671124750280866,2.0321144113375555,1.7315268588126906,1.9062125656972289,False,0.6537003746103189,1.6624112468526195,2.0142051521225097,False,0.4694047103315333,1.6109426003396696,2.06924470516848,True,0.4583021048288103
2018-03-01,3,2.242964269065925,2.152535590528837,1.9785882627263311,1.9460525430329447,2.022861730099493,1.8152646423185903,2.2587763165823054,True,0.44351167426371507,1.6250382454852401,2.451996910465002,True,0.8269586649797618,1.4997441529789954,2.5005260030372822,True,1.0007818500582868
2018-03-01,6,1.9900271150064868,1.990195507170934,1.9785882627263311,1.918681652374497,1.9697229692346412,1.4238967986447424,2.0166238438052275,True,0.5927270451604851,1.1247231148571069,2.349008262922413,True,1.2242851480653063,0.7767764735661946,2.441805354186489,True,1.6650288806202944
2018-03-01,12,1.5103443124301434,1.782130968942199,1.9785882627263311,1.876284980027458,1.903021692660945,0.7945628230227546,1.82079018716498,True,1.0262273641422255,0.05492994060806877,2.1996575579711646,True,2.144727617363096,-0.1005579666703531,2.335981103723694,True,2.436539070394047
2018-04-01,1,2.2409095512439534,2.315124678002358,2.025966232628674,2.0120195322557977,2.0285062007796264,2.1919639306037073,2.3743610426484643,True,0.18239711204475695,2.1246527998918125,2.4795461047765888,True,0.3548933048847762,2.0711337007697788,2.528978346197646,True,0.4578446454278673
2018-04-01,3,2.3116806351336234,2.564695416144102,2.025966232628674,1.9864244579179475,1.99653187828117,2.2308928756570174,2.666678123796464,True,0.4357852481394464,2.038366149514847,2.863654576018578,True,0.825288426503731,1.9132634877957886,2.9121203806515963,True,0.9988568928558077
2018-04-01,6,2.03230609584368,2.2906433542562157,2.025966232628674,1.953158058113999,1.9493104511827102,1.7386842202690085,2.3123512787194054,True,0.5736670584503969,1.4255652788858741,2.649365864878062,True,1.2238005859921879,1.078490798431238,2.738547406544218,True,1.66005660811298
2018-04-01,12,1.5541979916534745,2.0048062154222834,2.025966232628674,1.901625769209063,1.8930394751927822,1.0376665393092614,2.042722581707563,True,1.0050560423983015,0.2810706439260262,2.420762076880779,True,2.139691432954753,0.12493170617500438,2.5548813232978156,True,2.429949617122811
2018-05-01,1,2.242964269065925,2.308296953427702,2.2409095512439534,2.215661897440015,2.300241262077296,2.185590258688051,2.3645806633106603,True,0.1789904046226094,2.1200836092243325,2.47191798682892,True,0.35183437760458736,2.0645140574932137,2.5219012435201384,True,0.45738718602692474
2018-05-01,3,2.1569803047896254,2.4156798050353476,2.2409095512439534,2.169320100413229,2.252213705089614,2.085345672271426,2.5118854981300727,True,0.4265398258586468,1.8905186168204346,2.7141368048481356,True,0.8236181880277009,1.7656073858885626,2.7625393215418916,True,0.996931935653329
2018-05-01,6,1.9232780920105144,2.187902910826784,2.2409095512439534,2.1090733244061597,2.1332064855359083,1.6502833513785615,2.2048904231188704,True,0.5546070717403089,1.3232191523999282,2.546535176318998,True,1.22331602391907,0.9770168327815683,2.632101168387233,True,1.6550843356056648
2018-05-01,12,1.45491815392559,1.855589453714838,2.2409095512439534,2.015703976436592,1.9864316773380222,0.9088782474082386,1.8927629680626157,True,0.983884720654377,0.13531933905645355,2.2699745876028636,True,2.13465524854641,-0.02147062916716802,2.401889534684407,True,2.423360163851575
